,Unnamed: 0,Assessment Number,Category of Ownership,Annual Rental Value,Effective Date,Property Type,Extent of Site (Sq.Yds),Zone,Ward,Election Ward,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,cable connection
44,7301,1086274451,Private,"3,656",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
45,7302,1086274469,Private,937,01/04/2018,Residential,81.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
46,7303,1086274549,Private,"2,844",01/04/2021,Residential,70.2,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
47,7304,1086274547,Private,"1,655",01/04/2021,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
48,7305,1086274564,Private,638,19/02/2011,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
49,7306,1086274593,Private,604,31/03/2011,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
50,7307,1086274597,Private,"16,294",31/03/2011,Mixed,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
51,7308,1086274736,Private,"13,880",01/04/2021,Residential,168.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
52,7309,1086274824,Private,"5,607",02/08/2012,Mixed,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
53,7310,1086274901,Private,"1,788",15/07/2014,Residential,45.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
54,7311,1086275042,Private,"7,116",01/10/2017,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
55,7312,1086275056,Private,"3,208",01/04/2021,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
56,7313,1086275077,Private,"10,082",01/10/2017,Residential,100.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
57,7314,1086275227,Private,"1,492",01/04/2018,Residential,25.92,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
58,7315,1086275251,Private,"1,540",11/03/2011,Residential,47.84,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
59,7316,1086275253,Private,"2,649",01/04/2021,Residential,112.42,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
60,7317,1086275275,Private,708,30/03/2011,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
61,7318,1086275276,Private,660,01/04/2021,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
62,7319,1086275277,Private,572,01/04/2021,Residential,45.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
63,7320,1086275305,Private,"1,694",30/03/2011,Residential,66.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
64,7321,1086275307,Private,"1,047",30/03/2011,Residential,47.84,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
65,7322,1086275308,Private,708,30/03/2011,Residential,66.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
66,7323,1086275324,Private,657,17/05/2011,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
67,7324,1086275328,Private,"1,418",01/04/2021,Residential,96.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
68,7325,1086275329,Private,"1,935",01/04/2021,Residential,0.0,Zone15,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
69,7326,1086275376,Private,"1,306",01/04/2018,Residential,40.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
70,7327,1086275452,Private,"1,345",01/04/2021,Residential,80.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
71,7328,1086275491,Private,514,16/12/2011,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
72,7329,1086275504,Private,539,01/04/2021,Residential,63.75,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
73,7330,1086275536,Private,615,01/04/2018,Residential,45.75,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
74,7331,1086275537,Private,469,06/03/2012,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
75,7332,1086275574,Private,559,24/03/2012,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
76,7333,1086275577,Private,729,01/04/2021,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
77,7335,1086275582,Private,604,24/03/2012,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
78,7336,1086275619,Private,698,01/04/2021,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
79,7337,1086275629,Private,"1,155",01/04/2021,Residential,0.0,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
80,7338,1086275631,Private,721,01/04/2018,Residential,50.25,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
81,7339,1086275638,Private,604,01/04/2021,Residential,48.96,Zone15a,Revenue Ward 47,Election Ward 47,No,0,1,1,0,0,0
82,7345,1086232614,Private,"2,033",01/04/2021,Residential,0.0,Zone12a,Revenue Ward 48,Election Ward 38,No,0,1,1,0,0,0
83,7346,1086276169,Private,"5,180",01/04/2021,Residential,64.26,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
84,7347,1086276200,Private,"2,117",01/04/2021,Residential,0.0,Zone15a,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
85,7348,1086276224,Private,"31,181",01/04/2021,Residential,313.9,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
86,7349,1086276235,Private,"6,425",01/04/2021,Residential,55.42,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
87,7350,1086276266,Private,"53,438",11/04/2016,Mixed,0.0,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
88,7351,1086276265,Private,"30,443",26/05/2005,Residential,110.36,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
89,7352,1086276331,Private,"32,206",01/04/2021,Residential,218.4,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
90,7353,1086276341,Private,"40,483",01/04/2021,Residential,244.3,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
91,7355,1086276878,Private,"1,764",01/04/2021,Residential,40.69,Zone15a,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
92,7356,1086277333,Private,"9,805",01/04/2021,Non Residential,0.0,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
93,7357,1086278160,Private,"4,301",01/10/2006,Residential,0.0,Zone15a,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
94,7358,1086278532,Private,"1,882",01/10/2006,Residential,0.0,Zone15a,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
95,7359,1086278988,Private,638,01/04/2018,Residential,59.99,Zone15a,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
96,7360,1086279269,Private,"2,264",01/04/2021,Residential,41.25,Zone15a,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
97,7361,1086279704,Private,"10,177",01/04/2021,Residential,704.7,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
98,7362,1086279848,Private,"8,074",08/12/2015,Residential,202.53,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
99,7363,1086279957,Private,"7,318",24/07/2010,Residential,202.53,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
100,7364,1086280353,Private,"2,032",01/04/2021,Residential,60.28,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
101,7365,1086280415,Private,"12,084",01/10/2017,Residential,401.28,Zone15,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
102,7366,1086280607,Private,"1,056",07/07/2011,Residential,0.0,Zone15a,Revenue Ward 48,Election Ward 48,No,0,1,1,0,0,0
103,7370,1086281458,Private,"10,631",01/04/2021,Residential,50.75,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
104,7371,1086281464,Private,"7,368",01/04/2021,Residential,0.0,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
105,7372,1086281428,Private,"3,982",01/04/2021,Residential,56.32,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
106,7373,1086281461,Private,"3,898",01/04/2021,Residential,24.54,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
107,7374,1086281600,Private,"19,500",01/04/2021,Residential,0.0,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
108,7375,1086281604,Private,"4,032",01/04/2021,Residential,44.59,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
109,7376,1086281612,Private,"5,376",21/07/2007,Residential,0.0,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
110,7377,1086281832,Private,"10,757",01/04/2021,Residential,64.05,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
111,7378,1086281936,Private,"2,419",01/10/2006,Residential,29.76,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
112,7379,1086282229,Private,"1,882",01/10/2006,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
113,7380,1086282256,Private,"4,637",01/04/2021,Residential,110.25,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
114,7381,1086282268,Private,"10,087",01/04/2014,Residential,57.6,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
115,7382,1086282287,Private,"2,688",01/04/2018,Residential,113.1,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
116,7383,1086282458,Private,"2,159",01/04/2010,Residential,102.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
117,7384,1086282459,Private,"1,882",01/04/2018,Residential,43.5,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
118,7385,1086282725,Private,"6,926",01/04/2021,Residential,109.72,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
119,7387,1086283010,Private,"2,268",01/04/2021,Residential,137.52,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
120,7388,1086283293,Private,"3,175",18/09/2006,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
121,7389,1086283798,Private,"4,061",01/04/2021,Residential,33.6,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
122,7391,1086283502,Private,"3,175",01/04/2021,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
123,7393,1086283748,Private,"1,820",01/04/2021,Residential,27.6,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
124,7395,1086283956,Private,"2,957",01/04/2018,Residential,50.5,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
125,7397,1086284116,Private,"3,484",01/04/2020,Residential,57.2,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
126,7398,1086284413,Private,"3,696",01/04/2021,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
127,7400,1086284792,Private,760,20/05/2006,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
128,7402,1086284827,Private,"5,405",01/04/2021,Residential,58.29,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
129,7403,1086284979,Private,813,01/04/2021,Residential,37.8,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
130,7404,1086284994,Private,"3,173",01/04/2021,Residential,36.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
131,7405,1086285053,Private,"1,344",01/04/2018,Residential,69.44,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
132,7406,1086285145,Private,"1,944",24/03/2008,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
133,7407,1086285281,Private,765,01/04/2018,Residential,39.14,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
134,7408,1086285358,Private,847,01/04/2021,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
135,7409,1086285380,Private,"1,788",01/04/2021,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
136,7410,1086285634,Private,776,01/04/2018,Residential,44.31,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
137,7411,1086285480,Private,"1,778",17/03/2010,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
138,7412,1086285640,Private,"2,758",01/04/2021,Residential,104.65,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
139,7413,1086285678,Private,"2,145",01/04/2021,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
140,7414,1086285696,Private,846,01/04/2021,Residential,22.5,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
141,7415,1086285764,Private,860,22/12/2011,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
142,7416,1086285710,Private,879,15/11/2011,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
143,7417,1086285757,Private,992,01/04/2018,Residential,48.3,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
144,7418,1086285771,Private,"1,137",01/04/2021,Residential,0.0,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
145,7419,1086285815,Private,693,01/04/2021,Residential,65.6,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
146,7420,1086285871,Private,"1,616",01/04/2021,Residential,49.61,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
147,7421,1086285884,Private,700,01/04/2021,Residential,27.0,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
148,7422,1086285892,Private,"1,491",01/04/2021,Residential,99.33,Zone15a,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
149,7423,1086285929,Private,422,01/04/2018,Residential,20.25,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
150,7424,1086285915,Private,704,01/04/2021,Residential,55.65,Zone15,Revenue Ward 49,Election Ward 49,No,0,1,1,0,0,0
151,7425,1086288150,Private,"13,289",28/12/2015,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
152,7430,1086286097,Private,"14,850",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
153,7431,1086286187,Private,"6,651",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
154,7432,1086286196,Private,"20,559",01/04/2021,Residential,198.74,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
155,7433,1086286306,Private,"21,409",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
156,7434,1086286263,Private,"3,696",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
157,7435,1086286312,Private,"5,346",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
158,7436,1086286317,Private,"5,346",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
159,7437,1086286378,Private,"33,898",21/05/2006,Mixed,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
160,7438,1086286393,Private,"5,359",01/04/2021,Residential,70.64,Zone16b,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
161,7439,1086286422,Private,"4,410",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
162,7440,1086286425,Private,"2,423",01/04/2021,Residential,31.9,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
163,7441,1086286455,Private,"5,452",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
164,7442,1086286612,Private,"12,626",01/04/2021,Residential,0.0,Zone16a,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
165,7443,1086286615,Private,"1,264",01/04/2021,Residential,105.75,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
166,7446,1086286753,Private,"10,349",01/04/2021,Residential,124.41,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
167,7447,1086286757,Private,"5,821",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
168,7449,1086286764,Private,"1,588",01/04/2021,Residential,44.38,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
169,7450,1086286791,Private,"7,392",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
170,7451,1086286809,Private,"1,048",01/04/2018,Residential,110.2,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
171,7453,1086287261,Private,"4,536",21/05/2006,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
172,7454,1086286947,Private,"2,680",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
173,7455,1086286997,Private,"37,615",21/05/2006,Mixed,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
174,7456,1086286993,Private,"2,419",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
175,7457,1086287019,Private,"2,772",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
176,7458,1086287027,Private,"2,764",01/04/2021,Residential,129.41,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
177,7460,1086287065,Private,"20,194",01/04/2021,Residential,159.39,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
178,7461,1086287073,Private,"18,480",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
179,7463,1086287131,Private,"2,957",01/04/2021,Residential,38.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
180,7464,1086287136,Private,"2,957",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
181,7465,1086287141,Private,"3,545",01/04/2021,Residential,137.35,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
182,7466,1086287265,Private,"6,376",01/04/2021,Residential,95.22,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
183,7467,1086287266,Private,"3,629",01/04/2021,Residential,72.26,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
184,7468,1086287281,Private,"7,075",01/04/2021,Residential,64.19,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
185,7469,1086287290,Private,"6,505",01/04/2021,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
186,7470,1086287397,Private,"11,642",01/04/2021,Residential,138.75,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
187,7471,1086287366,Private,"9,106",01/04/2021,Residential,70.84,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
188,7473,1086287640,Private,983,21/05/2006,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
189,7475,1086287644,Private,"9,468",01/04/2018,Residential,0.0,Zone16c,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
190,7476,1086287857,Private,857,01/04/2021,Residential,42.48,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
191,7477,1086287932,Private,"17,660",02/11/2009,Residential,0.0,Zone16b,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
192,7478,1086287941,Private,"12,197",21/05/2006,Residential,0.0,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
193,7479,1086288090,Private,"1,727",01/04/2021,Residential,57.4,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
194,7480,1086288115,Private,"1,176",01/04/2021,Residential,149.63,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
195,7481,1086288298,Private,"21,329",01/04/2021,Residential,177.08,Zone16e,Revenue Ward 50,Election Ward 50,No,0,1,1,0,0,0
